Date,0,1,2
2015-01-02,176.1346435546875,96.21227264404297,104.38826751708984
2015-01-05,172.95367431640625,94.80094909667969,106.028076171875
2015-01-06,171.32464599609375,93.52981567382812,107.93841552734375
2015-01-07,173.4595489501953,94.73551940917969,107.72528076171875
2015-01-08,176.5375518798828,96.54874420166016,106.29865264892578
2015-01-09,175.12286376953125,95.91316223144531,107.46287536621094
2015-01-12,173.75103759765625,94.9131088256836,108.07778930664062
2015-01-13,173.2622833251953,94.88506317138672,108.07778930664062
2015-01-14,172.21633911132812,94.36166381835938,108.8976821899414
2015-01-15,170.63873291015625,93.13727569580078,110.61128997802734
2015-01-16,172.8765869140625,94.23081970214844,109.20098876953125
2015-01-20,173.2451934814453,94.97853088378906,110.65225219726562
2015-01-21,174.1197509765625,95.46455383300781,109.37321472167969
2015-01-22,176.70909118652344,97.23101806640625,108.97970581054688
2015-01-23,175.74021911621094,97.44600677490234,110.49647521972656
2015-01-26,176.15176391601562,97.33384704589844,110.16034698486328
2015-01-27,173.82821655273438,94.81029510498047,110.33252716064453
2015-01-28,171.5989990234375,94.32427215576172,112.13623809814453
2015-01-29,173.1851806640625,95.23087310791016,111.39836120605469
2015-01-30,171.0074005126953,94.49250030517578,113.37425994873047
2015-02-02,173.1251678466797,95.31501007080078,112.94620513916016
2015-02-03,175.62876892089844,96.23094177246094,110.55558776855469
2015-02-04,174.9600067138672,96.14683532714844,110.74449157714844
2015-02-05,176.72618103027344,96.97866821289062,109.52863311767578
2015-02-06,176.2375030517578,96.38983917236328,107.58980560302734
2015-02-09,175.44871520996094,96.08140563964844,107.41724395751953
2015-02-10,177.31781005859375,97.57684326171875,106.56281280517578
2015-02-11,177.42068481445312,97.93199920654297,106.76000213623047
2015-02-12,179.126953125,99.07225799560547,106.40674591064453
2015-02-13,179.86424255371094,99.92279815673828,105.31409454345703
2015-02-17,180.147216796875,100.01626586914062,103.72850036621094
2015-02-18,180.1643829345703,100.15644073486328,104.34465789794922
2015-02-19,180.03575134277344,100.65180206298828,103.65457153320312
2015-02-20,181.11605834960938,101.32476043701172,103.95851135253906
2015-02-23,181.09036254882812,101.42756652832031,105.1497802734375
2015-02-24,181.60479736328125,101.50233459472656,106.52994537353516
2015-02-25,181.45046997070312,101.24995422363281,106.99002838134766
2015-02-26,181.23611450195312,101.76406860351562,105.52767181396484
2015-02-27,180.6187744140625,101.31542205810547,106.41498565673828
2015-03-02,181.75921630859375,102.23136901855469,104.432861328125
2015-03-03,181.01321411132812,101.75469207763672,104.05420684814453
2015-03-04,180.25015258789062,101.36213684082031,104.08711242675781
2015-03-05,180.4473114013672,101.53974914550781,103.95540618896484
2015-03-06,177.90943908691406,100.39012908935547,101.6587905883789
2015-03-09,178.6467742919922,100.67984771728516,102.59720611572266
2015-03-10,175.74879455566406,98.81058502197266,103.9471435546875
2015-03-11,175.33724975585938,98.24044799804688,104.70445251464844
2015-03-12,177.5664825439453,98.8853530883789,104.63038635253906
2015-03-13,176.47756958007812,98.45541381835938,104.30937957763672
2015-03-16,178.83543395996094,99.72654724121094,105.31360626220703
2015-03-17,178.3038787841797,99.88540649414062,106.18612670898438
2015-03-18,180.4473114013672,100.8667984008789,108.2357406616211
2015-03-19,179.6242218017578,101.01632690429688,107.68427276611328
2015-03-20,181.20973205566406,101.67024230957031,108.25225067138672
2015-03-23,180.8566436767578,101.47347259521484,108.1205062866211
2015-03-24,179.8404083251953,101.10814666748047,109.1659164428711
2015-03-25,177.205078125,98.79425048828125,108.24398040771484
2015-03-26,176.78306579589844,98.45701599121094,106.55651092529297
2015-03-27,177.18780517578125,98.8504638671875,107.88179779052734
2015-03-30,179.34945678710938,99.98397827148438,107.34675598144531
2015-03-31,177.78208923339844,98.92539978027344,107.57723999023438
2015-04-01,177.1533660888672,98.41017150878906,108.99027252197266
2015-04-02,177.79066467285156,98.47575378417969,107.83541870117188
2015-04-06,178.98782348632812,99.28137969970703,107.23329162597656
2015-04-07,178.51414489746094,99.11279296875,108.13235473632812
2015-04-08,179.11697387695312,99.89967346191406,108.16539001464844
2015-04-09,179.90927124023438,100.5273208618164,106.76309967041016
2015-04-10,180.89108276367188,100.93950653076172,106.91984558105469
2015-04-13,180.07293701171875,100.68658447265625,107.06830596923828
2015-04-14,180.41741943359375,100.39616394042969,107.82720184326172
2015-04-15,181.22694396972656,101.02383422851562,107.73640441894531
2015-04-16,181.17527770996094,100.88330078125,107.20030975341797
2015-04-17,179.09115600585938,99.30950164794922,108.42931365966797
2015-04-20,180.7274932861328,100.79898071289062,107.47249603271484
2015-04-21,180.5121307373047,101.22992706298828,106.98578643798828
2015-04-22,181.399169921875,101.78263092041016,105.35255432128906
2015-04-23,181.8556365966797,102.16668701171875,105.8062515258789
2015-04-24,182.2776336669922,103.55317687988281,106.46614837646484
2015-04-27,181.51974487304688,103.29086303710938,106.46614837646484
2015-04-28,182.0967559814453,103.08474731445312,104.99787139892578
2015-04-29,181.3475341796875,102.43838500976562,103.71109008789062
2015-04-30,179.53036499023438,100.82707214355469,103.89251708984375
2015-05-01,181.4767303466797,102.15734100341797,102.4940185546875
2015-05-04,181.99342346191406,102.32596588134766,101.52688598632812
2015-05-05,179.90927124023438,100.65845489501953,101.38639068603516
2015-05-06,179.16864013671875,99.96522521972656,99.65062713623047
2015-05-07,179.88340759277344,100.56482696533203,100.98966217041016
2015-05-08,182.25181579589844,101.82012176513672,101.26241302490234
2015-05-11,181.38198852539062,101.42662811279297,98.79925537109375
2015-05-12,180.8394012451172,100.96761322021484,99.05550384521484
